id,name,metric_report_id,type,values
fbeaf227-23f7-4356-aebe-0ceaa544a6dd,"http_req_failed",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":1.5346158013998856,""min"":27.938399511325162,""max"":31.72063869654591}"
ff1db32c-4214-42be-ac99-e538584c315a,"data_received",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":55.776330356255265,""min"":39.12289250588628,""max"":92.2387542605456}"
205cf15d-3634-4476-9d45-4e9600705d94,"http_req_blocked",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":949.0510115405899,""rate"":86.29073552391401}"
1501c1dd-f651-4088-bd13-efd5d6204570,"http_req_receiving",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":362.2375001369029,""rate"":11.388247040569077}"
b58964dd-c70c-4163-8b8b-bf05fc37bdd8,"iterations",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":1.0480601359050823,""min"":8.170016163889768,""avg"":9.44379541959058,""med"":0.9431891616041299,""p95"":5.262333996203587,""p90"":5.69312661243229}"
9043d7ad-1c07-4c64-942e-3555d6f7c8e9,"data_sent",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":7.269201666693576,""min"":8.557791314615539,""avg"":7.308437803364924,""med"":0.5036553944860955,""p95"":0.4151996690352555,""p90"":5.432840080849469}"
b98efa3b-dcc4-42cf-ba3f-3fcba0e6e84d,"iteration_duration",24133795-50bd-46b7-bf9d-19e2ba2d270c,rate,"{""rate"":46.63413867225948,""passes"":83.97731365793109,""fails"":71.93283053480255}"
74c225d2-1e36-4e2d-b6c0-4053660d8be1,"http_req_sending",24133795-50bd-46b7-bf9d-19e2ba2d270c,rate,"{""rate"":8.665484505489818,""passes"":69.93766501217009,""fails"":87.84721111401173}"
e467adce-079a-47b8-b81a-dbcaf83f8b60,"http_req_duration",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":514.021848361366,""rate"":43.43183279982821}"
5235200e-305e-45b9-bbad-ce997f45af1b,"http_req_tls_handshaking",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":3.546039191869683,""min"":4.321834352553401,""avg"":6.300486647414907,""med"":7.740887371662008,""p95"":0.21176908220208568,""p90"":2.7091172322899837}"
fa534a9a-84df-4d64-b4f6-d4857b24f792,"vus_max",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":7.945909611002415,""min"":9.1516349185087,""avg"":3.5210866259371363,""med"":1.772638677939935,""p95"":7.184481632663282,""p90"":0.36551107569693153}"
2f02fccf-4b2e-47e8-9ff7-04070f48e754,"http_req_waiting",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":64.9198026188542,""min"":2.2822214523411266,""max"":30.065359244899213}"
8e93ce97-092b-4647-8bce-52e105951fdb,"http_req_connecting",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":4.846931432946833,""min"":0.36867399411931956,""avg"":7.810256924082556,""med"":0.31769626746231516,""p95"":8.516166153380219,""p90"":9.660796622974999}"
d8d3e847-5471-469e-916f-d1d3488790ed,"vus",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":3.1939834377509557,""min"":9.707407199919318,""avg"":9.838283822687801,""med"":3.190925801909197,""p95"":6.570035537685948,""p90"":0.8305607432992645}"
5d601ccb-1d0e-4482-babe-b560f327d0fd,"http_reqs",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":91.84537363104627,""min"":58.268370352389596,""max"":31.838988246347675}"
93ec949f-1581-4d95-88ea-ec99446f95e5,"http_req_failed",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,gauge,"{""value"":30.73429658987622,""min"":84.29525511143285,""max"":94.91284119003474}"
08f811ce-6b7b-47ef-9183-836e68a9097f,"data_received",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,gauge,"{""value"":43.33835360109165,""min"":79.14519115153364,""max"":84.28087520180073}"
