id,name,metrics_id,type,values
a7f9aaa7-b97c-43d8-8b03-f440398894f9,"iteration_duration",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":7.458356361406296,""min"":7.022201490231686,""avg"":9.323065362040348,""med"":5.460289432717488,""p(95)"":7.937614075896086,""p(90)"":1.776774812304761}"
022a3c4c-428e-4db0-b185-b79da38f2fe8,"http_req_failed",24133795-50bd-46b7-bf9d-19e2ba2d270c,rate,"{""rate"":5.982468117439321,""passes"":87.32526133648531,""fails"":22.725867547424585}"
69c1a8ee-5583-4af2-80d6-5b64b8b5fb15,"http_req_sending",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":4.06802637454799,""min"":9.527739981852344,""avg"":1.679006350987069,""med"":4.048617722476408,""p(95)"":0.8145968382132851,""p(90)"":7.005778647558213}"
af2dc47e-7716-41f8-85c3-a6478302d853,"iterations",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":378.3140869677607,""rate"":58.561544294249614}"
e2d22785-ad49-4ea2-bcd1-b795f04ea3b7,"http_req_blocked",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":5.65617752263781,""min"":9.77668780311142,""avg"":5.5058618492492695,""med"":7.559567073828083,""p(95)"":9.774283358723308,""p(90)"":9.887101017975414}"
2745fb20-b030-448c-89bf-dd52d3357198,"data_received",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":678.1452495092401,""rate"":8.714508810580634}"
8cb2d2e5-ebea-47e9-bb40-157b7f7a0907,"http_req_duration",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":7.150495502817159,""min"":5.014829293558035,""avg"":3.8964167437701445,""med"":6.293319790801536,""p(95)"":3.638712023545121,""p(90)"":5.811966886079576}"
6d2077d6-0953-4eef-a158-0bae4f278af7,"vus",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":77.48001527694328,""min"":33.195024050619296,""max"":14.115258148483578}"
f6cbb3b6-d60b-4d3b-84ad-96d542a68db3,"http_req_waiting",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":8.787672690482816,""min"":9.006154419977413,""avg"":9.520753362337954,""med"":7.18324293570798,""p(95)"":5.102874294227293,""p(90)"":8.272356787391574}"
661d1ead-d79f-44ba-b188-13f5a6a3084f,"http_req_connecting",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":2.4902966939531144,""min"":0.05237943089684394,""avg"":2.943729630945784,""med"":2.9856601904240057,""p(95)"":9.90735682871672,""p(90)"":9.542392898158692}"
8809c931-3c3b-4810-94e8-96aed995c0a6,"data_sent",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":364.20499808875064,""rate"":49.730388162945424}"
e44864ef-1495-4a95-9988-ecaafda21214,"http_reqs",24133795-50bd-46b7-bf9d-19e2ba2d270c,counter,"{""count"":123.60701040440247,""rate"":74.20270078254421}"
897fdd08-ebf2-4328-adef-02b9976c6e29,"http_req_receiving",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":8.261942962246716,""min"":5.433183369838591,""avg"":5.32371490904794,""med"":4.491349980821426,""p(95)"":7.4267543040829045,""p(90)"":7.506744514185717}"
56d8bb7d-2faa-4f88-8cca-43b1bba4b4a8,"http_req_tls_handshaking",24133795-50bd-46b7-bf9d-19e2ba2d270c,trend,"{""max"":1.8462001704407593,""min"":2.3103664162927897,""avg"":7.93652743924179,""med"":3.7233211553443635,""p(95)"":0.2828450386236703,""p(90)"":8.201501542062756}"
cb303846-0a0a-4483-b76c-c3a382088b74,"vus_max",24133795-50bd-46b7-bf9d-19e2ba2d270c,gauge,"{""value"":89.55124454763789,""min"":71.24466711850384,""max"":21.86117444571566}"
c77b0c2c-3e72-472c-b8e2-ae0837be5d86,"iteration_duration",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,trend,"{""max"":8.944143274546187,""min"":6.811726641071337,""avg"":0.7108217655709037,""med"":3.01345193836395,""p(95)"":3.1292302147074,""p(90)"":4.370591673434273}"
3ed0d1ee-8372-449d-9600-257e64b3d7a3,"http_req_failed",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,rate,"{""rate"":90.13178325565937,""passes"":2.82065030149512,""fails"":0.7556581485242075}"
53425abb-1e75-4bf4-a24d-7454673884b0,"http_req_sending",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,trend,"{""max"":4.789030984568349,""min"":8.515142384923903,""avg"":2.5512865860982856,""med"":0.36066009210512284,""p(95)"":8.558547600954135,""p(90)"":7.566756294720577}"
927ab769-a8c2-4a61-9f78-7b55a7e51f25,"iterations",1d8afab6-4f5d-49c6-9fae-f1914fb32ec2,counter,"{""count"":257.7740197017321,""rate"":82.7622484511766}"
